FilmTitle,"Superhit,HitorFlop",Genre,YearofRelease,HolidayWeekRelease,Budget(inCr),BoxOfficeCollection(inCrores),Profit/Loss(INR)(inCrores),Profit/LossMargin,IMDBrating,superstarhero,OTT/TheatreRelease,OTTavailability,ElementNr,ShiftNo,Mod
Swades,Hit,MusicalDrama,2004,no,25,36,11,44,8.1,ShahRukhKhan,Theatre,Netflix,2,0,0
BombayVelvet,Flop,Thriller,2015,no,120,43.1,-77,-64.16666667,5.5,RanbirKapoor,Theatre,no,4,2,0
3idiots,Hit,Comedy,2009,yes,55,400.6,345.6,628.3636364,8.4,AamirKhan,Theatre,"Netflix,AmazonPrimeVideo",6,4,0
Shershaah,Hit,Action,2021,yes,55,150,100,181.8181818,8.4,SiddharthMalhotra,OTT,AmazonPrimeVideo,8,6,0
Awednesday,Hit,Thriller,2008,no,3,12,9,300,8.1,NaseeruddinShah,Theatre,no,10,8,0
Talaash:Theanswerlieswithin,Hit,Thriller,2012,no,50,174.51,124.21,248.42,7.2,AamirKhan,Theatre,AmazonPrimeVideo,12,10,0
Ugly,Flop,Thriller,2013,no,4.5,6.24,1.74,38.66666667,7.9,no,Theatre,"AmazonPrimeVideo,Hotstar",14,12,0
Talvar:Guilty,SuperHit,Thriller,2015,yes,15,30,15,100,8.1,IrrfanKhan,Theatre,no,16,14,0
DetectiveByomkeshBakshy,Flop,Thriller,2015,no,35,34.68,-0.32,-0.914285714,7.6,SushantSinghRajput,Theatre,AmazonPrimeVideo,18,16,0
EkthiDaayan,SuperHit,Thriller,2013,no,25,40.25,15.25,61,5.7,no,Theatre,"Netflix,AmazonPrimeVideo,Hotstar",20,18,0
Baby,SuperHit,Thriller,2015,yes,59,143,84,142.3728814,7.9,AkshayKumar,Theatre,Hotstar,22,20,0
Andhadhun,SuperHit,Thriller,2018,no,32,456,424,1325,8.2,AyushmannKhurrana,Theatre,Netflix,24,22,0
BummBummBole,Flop,MusicalDrama,2010,no,7,1.34,-5.66,-80.85714286,6.1,no,Theatre,AmazonPrimeVideo,26,24,0
PK,SuperHit,Comedy,2014,yes,85,854,769,904.7058824,8.1,AamirKhan,Theatre,Netflix,28,26,0
TheKashmirFiles,SuperHit,Historical,2022,no,25,340.92,315.92,1263.68,8.3,no,Theatre,ZEE5,30,28,0
Uri:TheSurgicalStrike,SuperHit,Action,2019,no,25,342.06,317.06,1268.24,8.2,VickyKaushal,Theatre,"Netflix,AmazonPrimeVideo,Zee5",32,30,0
GoodNewwz,SuperHit,Comedy,2019,yes,85,318.57,233.57,274.7882353,6.8,AkshayKumar,Theatre,AmazonPrimeVideo,34,32,0
Barfi!,SuperHit,Romance,2012,no,50,174,124,248,8.1,RanbirKapoor,Theatre,Netflix,36,34,0
Bala,SuperHit,Comedy,2019,no,28,172,144,514.2857143,7.3,AyushmannKhurrana,Theatre,Hotstar,38,36,0
HalfGirlfriend,Hit,Romance,2017,no,35,97.7,62.7,179.1428571,4.5,ArjunKapoor,Theatre,"Netflix,Zee5",40,38,0
BareillyKiBarfi,Hit,RomCom,2017,no,20,58.75,38.75,193.75,7.5,"AyushmannKhurrana,RajkummarRao",Theatre,"Netflix,Zee5",42,40,0
Super30,Hit,Drama,2019,no,60,208.93,148.93,248.2166667,7.9,HrithikRoshan,Theatre,Hotstar,44,42,0
GunjanSaxena:TheKargilGirl,Hit,Drama,2020,yes,35,,,,5.6,no,OTT,Netflix,46,44,0
Chhorii,Hit,Horror,2021,no,7,,,,6.8,no,OTT,AmazonPrimeVideo,48,46,0
JanhitMeinJaari,Hit,Drama,2022,no,12,5.12,-6.88,-57.33333333,7.2,no,Theatre,Zee5,50,48,0
SonuKeTituKiSweety,Hit,RomCom,2018,no,40,152.75,112.75,281.875,7.1,no,Theatre,AmazonPrimeVideo,52,50,0
Myfriendganesha3,Flop,Animation,2010,no,5,7,2,40,5,no,Theatre,Hotstar,54,52,0
ToonpurkaSuperhero,Flop,Animation,2010,yes,25,5.1,-19.9,-79.6,4.2,AjayDevgn,Theatre,"AmazonPrimeVideo,Zee5",56,54,0
AFlyingJatt,Flop,Fantasy,2016,yes,35,56.13,21.13,60.37142857,3.1,TigerShroff,Theatre,Zee5,58,56,0
ChhotaBheemandtheThroneofBali,Flop,Animation,2013,no,5,5.38,0.38,7.6,5.5,no,Theatre,no,60,58,0
HanumanvsMahiravana,Flop,Animation,2018,no,88,113,25,28.40909091,7.1,no,Theatre,Hotstar,62,60,0
Paheli,Hit,Fantasy,2005,no,14,32,18,128.5714286,6.3,ShahRukhKhan,Theatre,Netflix,64,62,0
Bhoothnath,Hit,Fantasy,2008,no,20,38.3,18.3,91.5,6.3,AmitabhBachchan,Theatre,"AmazonPrimeVideo,Hotstar,SonyLiv",66,64,0
Krrish,Hit,Sci-fi,2006,no,40,126,86,215,6.4,HrithikRoshan,Theatre,SonyLiv,68,66,0
LoveStory2050,Flop,Sci-fi,2008,no,60,18.5,-41.5,-69.16666667,2.6,no,Theatre,AmazonPrimeVideo,70,68,0
MissionMangal,SuperHit,Sci-fi,2019,yes,32,290.59,258.59,808.09375,6.5,AkshayKumar,Theatre,Hotstar,72,70,0
ChennaiExpress,Hit,Romance,2013,yes,115,423,308,267.826087,6,ShahRukhKhan,Theatre,Netflix,74,72,0
Bhuj:ThePrideofIndia,HIt,Historical,2021,yes,80,130,50,62.5,4.7,AjayDevgn,OTT,Hotstar,76,74,0
LooopLapeta,Flop,Thriller,2022,no,11,,,0,5.2,no,OTT,Netflix,78,76,0
Jalsa,Hit,Thriller,2022,no,15,,,0,6.6,no,OTT,AmazonPrimeVideo,80,78,0
DilBechara,HIt,Romance,2020,no,30,,,0,8.1,SushantSinghRajput,OTT,Hotstar,82,80,0
Thegirlonthetrain,Flop,Thriller,2021,no,13,10,,0,4.5,no,OTT,Netflix,84,82,0
AngreziMedium,Flop,Drama,2020,no,36,13.5,-22.5,-62.5,7.2,IrrfanKhan,OTT,Hotstar,86,84,0
Ludo,SuperHit,Drama,2020,yes,21,85,64,304.7619048,7.6,no,OTT,Netflix,88,86,0
Shiddat,Flop,Romance,2021,no,15,10,-5,-33.33333333,7.7,no,OTT,Hotstar,90,88,0
Dybbuk,Flop,Horror,2021,yes,11,,,0,4.9,EmraanHashmi,OTT,AmazonPrimeVideo,92,90,0
Laxmii,Hit,HorrorComedy,2020,yes,60,125,65,108.3333333,2.6,AkshayKumar,OTT,Hotstar,94,92,0
lootcase,Hit,Comedy,2020,no,18,20,2,11.11111111,7.6,no,OTT,Hotstar,96,94,0
jersey,Flop,SportsDrama,2022,no,95,27,-68,-71.57894737,7.3,ShahidKapoor,OTT,Netflix,98,96,0
chhalaang,Hit,SportsDrama,2020,yes,15,,,,6.8,RajkumarRao,OTT,AmazonPrimeVideo,100,98,0
jhund,Flop,SportsDrama,2022,no,22,14.7,-7.3,-33.18181818,7.4,,Theatre,Netflix,102,100,0
rashmirocket,Flop,SportsDrama,2021,no,11,,,,7.6,no,OTT,Zee5,104,102,0
